#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 2e-05 A
#	Delay Time: 20 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,-0.0193280181,nan
2e-05,-0.318999402,-15949.970099999999
4e-05,-0.502837472,-12570.936799999998
6.000000000000001e-05,-0.631519054,-10525.317566666665
8e-05,-0.733249797,-9165.6224625
0.0001,-0.821029147,-8210.291469999998
0.00012000000000000002,-0.890765129,-7423.042741666666
0.00014000000000000001,-0.956138524,-6829.560885714285
0.00016,-1.08736082,-6796.005125
0.00018,-1.14532197,-6362.899833333332
0.0002,-0.142290342,-711.4517099999999
0.00022,-0.408112686,-1855.0576636363635
0.00024000000000000003,-0.582106943,-2425.445595833333
0.00026000000000000003,-0.618778601,-2379.917696153846
0.00028000000000000003,-0.717927476,-2564.0266999999994
0.00030000000000000003,-0.684754128,-2282.51376
0.00032,-0.673815181,-2105.672440625
0.00034,-0.665130473,-1956.2660970588236
0.00036,-0.679715777,-1888.0993805555554
0.00038,-0.698353619,-1837.7726815789474
0.0004,-0.678687237,-1696.7180925
0.00042,-0.659553593,-1570.3656976190478
0.00044,-0.668465794,-1519.2404409090907
0.00046,-0.640230299,-1391.8049978260867
0.00048000000000000007,-0.619679797,-1290.9995770833332
0.0005,-0.5992983,-1198.5965999999999
0.0005200000000000001,-0.599826722,-1153.5129269230767
0.00054,-0.56321558,-1042.991814814815
0.0005600000000000001,-0.550742686,-983.469082142857
0.00058,-0.54158556,-933.7682068965518
0.0006000000000000001,-0.526897972,-878.1632866666665
0.00062,-0.512863315,-827.1988951612904
0.00064,-0.503494908,-786.7107937499999
0.0006600000000000001,-0.501736916,-760.2074484848484
0.00068,-0.484789621,-712.925913235294
0.0007000000000000001,-0.464255512,-663.2221599999999
0.00072,-0.452591524,-628.5993388888888
0.0007400000000000001,-0.414986157,-560.792104054054
0.00076,-0.392028001,-515.8263171052631
0.0007800000000000001,-0.394744246,-506.08236666666664
0.0008,-0.353637039,-442.04629874999995
0.0008200000000000001,-0.350590622,-427.54953902439024
0.00084,-0.326092035,-388.20480357142856
0.0008600000000000001,-0.305683609,-355.44605697674416
0.00088,-0.29447276,-334.6281363636364
0.0009000000000000001,-0.293581738,-326.20193111111104
0.00092,-0.281743226,-306.2426369565217
0.0009400000000000001,-0.282158068,-300.1681574468085
0.0009600000000000001,-0.254904988,-265.5260291666666
0.0009800000000000002,-0.253939131,-259.1215622448979
0.001,-0.207937854,-207.937854
0.00098,-0.202026575,-206.14956632653065
0.0009599999999999999,-0.178207537,-185.63285104166667
0.0009399999999999999,-0.164223368,-174.70571063829792
0.0009199999999999998,-0.141382354,-153.67647173913045
0.0008999999999999998,-0.113750597,-126.38955222222225
0.0008799999999999997,-0.0782354112,-88.90387636363639
0.0008599999999999997,-0.0700695538,-81.47622534883725
0.0008399999999999996,-0.0565802901,-67.35748821428575
0.0008199999999999995,-0.0522021803,-63.66119548780491
0.0007999999999999995,-0.0322757897,-40.34473712500003
0.0007799999999999994,-0.0226365077,-29.02116371794874
0.0007599999999999994,0.0377088209,49.6168696052632
0.0007399999999999993,0.0431374609,58.293866081081134
0.0007199999999999993,0.0460889943,64.0124920833334
0.0006999999999999992,0.0564655429,80.66506128571437
0.0006799999999999992,0.0090940103,13.373544558823546
0.0006599999999999991,0.109363388,165.70210303030325
0.0006399999999999991,0.189023003,295.34844218750044
0.000619999999999999,0.267016963,430.6725209677426
0.000599999999999999,0.324766319,541.2771983333344
0.0005799999999999989,0.372610591,642.4320534482771
0.0005599999999999989,0.40811567,728.7779821428586
0.0005399999999999988,0.443989304,822.2024148148166
0.0005199999999999988,0.489983098,942.2751884615407
0.0004999999999999987,0.532548218,1065.0964360000028
0.00047999999999999866,0.571060533,1189.7094437500034
0.0004599999999999986,0.600844672,1306.1840695652213
0.00043999999999999855,0.635692216,1444.7550363636412
0.0004199999999999985,0.659987935,1571.3998452381009
0.00039999999999999845,0.701683697,1754.209242500007
0.0003799999999999984,0.712269117,1874.3924131579026
0.00035999999999999834,0.749371968,2081.5888000000095
0.0003399999999999983,0.787035754,2314.8110411764824
0.00031999999999999824,0.827295172,2585.297412500014
0.0002999999999999982,0.831910746,2773.035820000017
0.00027999999999999813,0.849092947,3032.474810714306
0.0002599999999999981,0.841439955,3236.3075192307933
0.00023999999999999803,0.865834801,3607.6450041666963
0.00021999999999999797,0.876657267,3984.8057590909457
0.00019999999999999792,0.896000116,4480.000580000046
0.00017999999999999787,0.92955519,5164.195500000061
0.00015999999999999782,0.936879417,5855.49635625008
0.00013999999999999777,0.94514515,6751.036785714394
0.00011999999999999771,0.963133912,8026.115933333486
9.999999999999766e-05,0.953073395,9530.733950000224
7.999999999999761e-05,0.982730478,12284.130975000367
5.9999999999997555e-05,0.991258066,16520.96776666734
3.99999999999975e-05,1.01498237,25374.559250001585
1.999999999999745e-05,1.01936285,50968.1425000065
-2.6020852139652106e-18,1.02524134,nan
-2.0000000000002655e-05,0.502844665,-25142.233249996665
-4.000000000000271e-05,1.15116104,-28779.025999998055
-6.000000000000276e-05,1.19018398,-19836.399666665755
-8.000000000000281e-05,1.1916145,-14895.181249999478
-0.00010000000000000286,1.17169429,-11716.942899999665
-0.00012000000000000292,1.14460218,-9538.351499999768
-0.00014000000000000297,1.07727936,-7694.852571428408
-0.00016000000000000302,1.00618505,-6288.656562499881
-0.00018000000000000307,0.942684128,-5237.134044444355
-0.00020000000000000313,0.870069075,-4350.345374999932
-0.00022000000000000318,0.78387465,-3563.0665909090394
-0.00024000000000000323,0.687480702,-2864.5029249999616
-0.0002600000000000033,0.623055479,-2396.367226923047
