#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 2e-05 A
#	Delay Time: 20 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,0.000206116405,nan
2e-05,-0.469308516,-23465.425799999997
4e-05,-0.228321461,-5708.0365249999995
6.000000000000001e-05,-0.521295638,-8688.260633333331
8e-05,-0.660380062,-8254.750774999999
0.0001,-0.767621358,-7676.21358
0.00012000000000000002,-0.857444914,-7145.374283333333
0.00014000000000000001,-0.935478916,-6681.992257142856
0.00016,-1.00530237,-6283.139812499999
0.00018,-1.06951438,-5941.7465555555555
0.0002,-1.12778799,-5638.93995
0.00022,-1.18156532,-5370.751454545454
0.00024000000000000003,-0.117104169,-487.93403749999993
0.00026000000000000003,-0.161723532,-622.0135846153845
0.00028000000000000003,-0.215850443,-770.8944392857143
0.00030000000000000003,-0.265120137,-883.7337899999999
0.00032,-0.309943849,-968.5745281249999
0.00034,-0.351202195,-1032.9476323529411
0.00036,-0.390552375,-1084.8677083333332
0.00038,-0.42946004,-1130.158
0.0004,-0.464652418,-1161.631045
0.00042,-0.499250333,-1188.691269047619
0.00044,-0.533500897,-1212.5020386363637
0.00046,-0.566272881,-1231.028002173913
0.00048000000000000007,-0.59756375,-1244.9244791666663
0.0005,-0.628724077,-1257.448154
0.0005200000000000001,-0.658646465,-1266.627817307692
0.00054,-0.685806942,-1270.0128555555557
0.0005600000000000001,-0.71322148,-1273.6097857142854
0.00058,-0.741575447,-1278.5783568965517
0.0006000000000000001,-0.768761325,-1281.268875
0.00062,-0.795395632,-1282.8961806451612
0.00064,-0.820470897,-1281.9857765625
0.0006600000000000001,-0.844796302,-1279.9943969696967
0.00068,-0.868755446,-1277.581538235294
0.0007000000000000001,-0.892139849,-1274.4854985714283
0.00072,-0.913228227,-1268.3725375
0.0007400000000000001,-0.935842844,-1264.6524918918917
0.00076,-0.957332416,-1259.6479157894735
0.0007800000000000001,-0.980741155,-1257.360455128205
