#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 2e-05 A
#	Delay Time: 20 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,-0.0947108644,nan
2e-05,-0.0435823931,-2179.119655
4e-05,-0.118873487,-2971.8371749999997
6.000000000000001e-05,-0.241740119,-4029.0019833333326
8e-05,-0.256031463,-3200.3932875
0.0001,-0.252731039,-2527.3103899999996
0.00012000000000000002,-0.26393264,-2199.4386666666664
0.00014000000000000001,-0.252193461,-1801.381864285714
0.00016,-0.223755644,-1398.472775
0.00018,-0.216265649,-1201.4758277777778
0.0002,-0.201785769,-1008.928845
0.00022,-0.203453234,-924.7874272727273
0.00024000000000000003,-0.179212746,-746.7197749999999
0.00026000000000000003,-0.146967467,-565.2594884615384
0.00028000000000000003,-0.124271957,-443.8284178571428
0.00030000000000000003,-0.0578933092,-192.9776973333333
0.00032,-0.0291252029,-91.0162590625
0.00034,-0.015318503,-45.054420588235295
0.00036,0.0279653087,77.68141305555555
0.00038,0.0677195791,178.2094186842105
0.0004,0.0970224388,242.556097
0.00042,-0.00502016125,-11.952764880952381
0.00044,0.078375932,178.12711818181816
0.00046,0.108814347,236.55292826086958
0.00048000000000000007,-0.0116327144,-24.234821666666665
0.0005,0.035850886,71.70177199999999
0.0005200000000000001,0.0628040149,120.77695173076921
0.00054,0.0566857153,104.97354685185185
0.0005600000000000001,0.0900745849,160.84747303571427
0.00058,0.0986990685,170.1708077586207
0.0006000000000000001,-0.00705621419,-11.760356983333333
0.00062,0.0473446009,76.36225951612903
0.00064,0.0691217897,108.00279640625
0.0006600000000000001,0.108346394,164.161203030303
0.00068,-0.00701740081,-10.319707073529411
0.0007000000000000001,0.0524629196,74.94702799999999
0.00072,0.0769631107,106.89320930555556
0.0007400000000000001,0.0990631502,133.8691218918919
0.00076,-0.007263448,-9.55716842105263
0.0007800000000000001,0.0437316636,56.066235384615375
0.0008,0.0467974802,58.496850249999994
0.0008200000000000001,0.0820061625,100.00751524390242
0.00084,0.109873799,130.80214166666664
0.0008600000000000001,-0.0199530307,-23.20119848837209
0.00088,0.0175603082,19.95489568181818
0.0009000000000000001,0.029041635,32.26848333333333
0.00092,0.0512233076,55.67750826086956
0.0009400000000000001,0.0667651144,71.0267174468085
