#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 2e-05 A
#	Delay Time: 20 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,-0.104020192,nan
2e-05,-0.342177427,-17108.871349999998
4e-05,-0.0295505484,-738.76371
6.000000000000001e-05,-2.16422056,-36070.342666666664
8e-05,-2.55305856,-31913.232
0.0001,-2.79267307,-27926.7307
0.00012000000000000002,-2.98828309,-24902.35908333333
0.00014000000000000001,-3.13246645,-22374.760357142855
0.00016,-3.25477289,-20342.3305625
0.00018,-3.3699859,-18722.143888888888
0.0002,-3.47393307,-17369.66535
0.00022,-3.566989,-16213.586363636363
0.00024000000000000003,-3.64819106,-15200.79608333333
0.00026000000000000003,-3.72018557,-14308.406038461537
0.00028000000000000003,-3.78500765,-13517.884464285713
0.00030000000000000003,-3.84463021,-12815.434033333333
0.00032,-3.89952321,-12186.010031249998
0.00034,-3.96313177,-11656.269911764704
0.00036,-4.02538428,-11181.623
0.00038,-4.08447103,-10748.60797368421
0.0004,-4.1373339,-10343.334749999998
0.00042,-4.18978948,-9975.689238095238
0.00044,-4.24006644,-9636.514636363636
0.00046,-4.28787555,-9321.468586956522
0.00048000000000000007,-4.33256204,-9026.170916666666
0.0005,-4.37626821,-8752.53642
0.0005200000000000001,-4.41783527,-8495.837057692308
0.00054,-4.46091618,-8260.955888888888
0.0005600000000000001,-4.49995591,-8035.635553571427
0.00058,-4.53694552,-7822.319862068965
0.0006000000000000001,-4.57296162,-7621.6026999999995
0.00062,-4.60774038,-7431.839322580645
0.00064,-4.64260587,-7254.071671874999
0.0006600000000000001,-4.6770341,-7086.415303030302
0.00068,-4.71113948,-6928.146294117647
0.0007000000000000001,-4.74532887,-6779.041242857142
0.00072,-4.77811655,-6636.272986111111
0.0007400000000000001,-4.81088641,-6501.19785135135
0.00076,-4.84427256,-6374.042842105263
0.0007800000000000001,-4.87750796,-6253.215333333333
0.0008,-4.91026977,-6137.8372125
0.0008200000000000001,-4.94152363,-6026.248329268292
0.00084,-4.97242695,-5919.555892857143
0.0008600000000000001,-5.00314182,-5817.606767441859
0.00088,-5.03264661,-5718.916602272727
0.0009000000000000001,-5.06163286,-5624.0365111111105
0.00092,-5.09023951,-5532.869032608695
0.0009400000000000001,-5.11878622,-5445.517255319148
0.0009600000000000001,-5.14670859,-5361.154781249999
0.0009800000000000002,-5.17481985,-5280.428418367346
0.001,-5.20222004,-5202.22004
0.00098,-5.22951171,-5336.23643877551
0.0009599999999999999,-5.2569169,-5475.955104166667
0.0009399999999999999,-5.28385122,-5621.118319148937
0.0009199999999999998,-5.31038687,-5772.159641304349
0.0008999999999999998,-5.33681808,-5929.797866666668
0.0008799999999999997,-5.36320707,-6094.553488636365
0.0008599999999999997,-5.3892471,-6266.56639534884
0.0008399999999999996,-5.41528238,-6446.764738095241
