#Procedure: <__main__.IVProcedure>
#Parameters:
#	Current Step: 2e-05 A
#	Delay Time: 50 ms
#	Maximum Current: 0.001 A
#	Minimum Current: -0.001 A
#Data:
Current (A),Voltage (V),Resistance (ohm)
0.0,-0.00870363658,nan
2e-05,-0.740551235,-37027.56174999999
4e-05,-0.228497321,-5712.433024999999
6.000000000000001e-05,-0.554411488,-9240.191466666665
8e-05,-0.7077263,-8846.578749999999
0.0001,-0.82932086,-8293.2086
0.00012000000000000002,-0.928779705,-7739.830874999999
0.00014000000000000001,-1.01615108,-7258.221999999999
0.00016,-1.09336388,-6833.5242499999995
0.00018,-1.16211157,-6456.175388888888
0.0002,-0.111514705,-557.573525
0.00022,-0.170611799,-775.5081772727273
0.00024000000000000003,-0.233922236,-974.6759833333332
0.00026000000000000003,-0.289977019,-1115.2962269230768
0.00028000000000000003,-0.340509803,-1216.1064392857143
0.00030000000000000003,-0.389071298,-1296.9043266666665
0.00032,-0.435124839,-1359.7651218749997
0.00034,-0.477472576,-1404.3311058823529
0.00036,-0.517377704,-1437.160288888889
0.00038,-0.555393003,-1461.5605342105264
0.0004,-0.592055458,-1480.138645
0.00042,-0.626995209,-1492.8457357142859
0.00044,-0.660579175,-1501.3163068181816
0.00046,-0.692488552,-1505.4098956521739
0.00048000000000000007,-0.722543757,-1505.2994937499998
0.0005,-0.753072466,-1506.144932
0.0005200000000000001,-0.782527178,-1504.8599576923075
0.00054,-0.810898114,-1501.663174074074
0.0005600000000000001,-0.837542189,-1495.6110517857142
0.00058,-0.863967692,-1489.5994689655172
0.0006000000000000001,-0.889030415,-1481.7173583333333
0.00062,-0.91382265,-1473.9075
0.00064,-0.938186193,-1465.9159265624999
0.0006600000000000001,-0.962085186,-1457.704827272727
0.00068,-0.985115982,-1448.6999735294116
0.0007000000000000001,-1.00738799,-1439.1256999999998
0.00072,-1.02900612,-1429.1751666666667
0.0007400000000000001,-1.04997325,-1418.8827702702702
0.00076,-1.07049903,-1408.5513552631578
0.0007800000000000001,-1.09025948,-1397.768564102564
0.0008,-1.11029682,-1387.871025
0.0008200000000000001,-1.12946732,-1377.3991707317073
0.00084,-1.14849079,-1367.2509404761906
0.0008600000000000001,-1.1682839,-1358.4696511627906
0.00088,-1.1861374,-1347.883409090909
0.0009000000000000001,-0.112071816,-124.52423999999999
0.00092,-0.115717346,-125.77972391304347
0.0009400000000000001,-0.145824981,-155.13295851063828
0.0009600000000000001,-0.172099612,-179.27042916666664
0.0009800000000000002,-0.196645546,-200.65872040816322
0.001,-0.219896485,-219.89648499999998
0.00098,-0.242207689,-247.1507030612245
0.0009599999999999999,-0.26332824,-274.30025
0.0009399999999999999,-0.282950031,-301.01067127659576
0.0009199999999999998,-0.303880403,-330.3047858695653
0.0008999999999999998,-0.322774509,-358.6383433333334
0.0008799999999999997,-0.341652421,-388.2413875000001
0.0008599999999999997,-0.360656578,-419.36811395348855
0.0008399999999999996,-0.379563086,-451.8608166666669
0.0008199999999999995,-0.396917699,-484.04597439024417
0.0007999999999999995,-0.414760508,-518.4506350000004
0.0007799999999999994,-0.431962613,-553.7982217948722
0.0007599999999999994,-0.448231321,-589.7780539473689
0.0007399999999999993,-0.465877411,-629.5640689189195
0.0007199999999999993,-0.482596795,-670.2733263888896
0.0006999999999999992,-0.499398769,-713.4268128571437
0.0006799999999999992,-0.515345273,-757.8606955882362
0.0006599999999999991,-0.531179373,-804.8172318181828
0.0006399999999999991,-0.547052766,-854.7699468750012
0.000619999999999999,-0.562175689,-906.734982258066
0.000599999999999999,-0.578349686,-963.9161433333351
0.0005799999999999989,-0.593776914,-1023.7533000000019
0.0005599999999999989,-0.608739179,-1087.0342482142878
0.0005399999999999988,-0.623538837,-1154.7015500000025
0.0005199999999999988,-0.638691979,-1228.2538057692336
0.0004999999999999987,-0.653662345,-1307.3246900000033
0.00047999999999999866,-0.668167179,-1392.014956250004
0.0004599999999999986,-0.681958452,-1482.518373913048
0.00043999999999999855,-0.695071452,-1579.7078454545506
0.0004199999999999985,-0.709621807,-1689.575730952387
0.00039999999999999845,-0.722670871,-1806.6771775000072
0.0003799999999999984,-0.736638934,-1938.5235105263241
0.00035999999999999834,-0.750795097,-2085.541936111121
0.0003399999999999983,-0.765011187,-2250.032902941188
0.00031999999999999824,-0.779280919,-2435.252871875013
0.0002999999999999982,-0.792878766,-2642.929220000016
0.00027999999999999813,-0.806874562,-2881.6948642857333
0.0002599999999999981,-0.820496288,-3155.754953846177
0.00023999999999999803,-0.834133892,-3475.557883333362
0.00021999999999999797,-0.847971866,-3854.417572727308
0.00019999999999999792,-0.861381165,-4306.905825000044
0.00017999999999999787,-0.875400494,-4863.336077777835
0.00015999999999999782,-0.887509424,-5546.9339000000755
